time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-20T08:21:06.986Z,-61.0503,-37.5134,10,4.9,mb,,99,14.694,0.57,us,us7000fvpj,2021-11-20T08:39:08.040Z,"Scotia Sea",earthquake,13.3,1.9,0.085,44,reviewed,us,us
2021-11-20T05:51:29.415Z,44.5859,-130.1181,10,4.6,mb,,202,1.263,0.84,us,us7000fvnr,2021-11-21T05:25:20.539Z,"off the coast of Oregon",earthquake,9.8,1.9,0.056,93,reviewed,us,us
2021-11-20T02:13:36.833Z,-6.3325,-107.089,10,4.6,mb,,168,29.318,0.76,us,us7000fvph,2021-11-20T23:04:34.040Z,"central East Pacific Rise",earthquake,12.4,1.9,0.107,26,reviewed,us,us
2021-11-19T23:57:22.884Z,35.7566,139.6032,106.14,4.6,mb,,116,1.373,0.6,us,us7000fvlx,2021-11-24T02:40:02.994Z,"4 km SSW of Wako, Japan",earthquake,6.8,4.6,0.051,116,reviewed,us,us
2021-11-19T23:54:54.565Z,-5.0303,152.695,35,4.7,mb,,58,0.987,0.6,us,us7000fvm3,2021-11-21T03:42:17.040Z,"89 km SSE of Kokopo, Papua New Guinea",earthquake,7.3,2,0.11,25,reviewed,us,us
2021-11-19T22:02:47.473Z,7.2025,-78.1189,10,4.6,mb,,112,2.389,0.9,us,us7000fvl3,2021-11-21T03:34:38.456Z,"35 km S of Jaqué, Panama",earthquake,4.8,1.9,0.098,31,reviewed,us,us
2021-11-19T20:13:52.522Z,6.7812,126.9607,52.83,5.4,mww,,50,1.401,0.79,us,us7000fvjz,2021-11-20T20:17:26.275Z,"63 km ESE of Jovellar, Philippines",earthquake,7.1,4.9,0.078,16,reviewed,us,us
2021-11-19T20:08:25.569Z,6.7949,126.9701,60.62,5.3,mww,,76,1.407,0.56,us,us7000fvjy,2021-11-20T16:38:38.701Z,"64 km ESE of Jovellar, Philippines",earthquake,6.8,5.9,0.073,18,reviewed,us,us
2021-11-19T19:32:56.219Z,-20.4857,169.7944,133.18,5.6,mww,,34,5.584,0.78,us,us7000fvjp,2021-11-20T19:35:42.332Z,"117 km SSE of Isangel, Vanuatu",earthquake,7.2,3.4,0.053,34,reviewed,us,us
2021-11-19T15:14:05.893Z,-22.7811,171.9026,10,4.6,mb,,83,7.184,1.04,us,us7000fviz,2021-11-19T17:36:55.040Z,"southeast of the Loyalty Islands",earthquake,8.7,1.9,0.114,24,reviewed,us,us
2021-11-19T13:38:42.577Z,-24.0321,-66.9001,232.09,4.8,mb,,65,1.591,0.73,us,us7000fvfy,2021-11-19T13:49:45.040Z,"62 km WNW of San Antonio de los Cobres, Argentina",earthquake,9.4,11.5,0.148,14,reviewed,us,us
2021-11-19T13:27:05.329Z,38.2117,20.3562,14.26,4.8,mb,,93,1.616,0.78,us,us7000fvfu,2021-11-20T02:29:22.677Z,"7 km W of Lixoúri, Greece",earthquake,6.1,4.9,0.083,45,reviewed,us,us
2021-11-19T12:40:54.052Z,39.8425,41.9271,10,5.1,mww,,31,1.113,0.78,us,us7000fvfl,2021-11-20T14:05:27.973Z,"24 km NW of Karayazı, Turkey",earthquake,3,1.7,0.061,26,reviewed,us,us
